informal,formal
आधी जा.,मला नको आहे आहे.
किती दिवस झाले?,थोडा जलद करा आहे!
आता पोहचलंय?,किती वाजले आहे?
तू उशिरा आला?,तुम्ही तयार आहात का?
हे किती आहे?,अरे रडू नका!
मला मदत करशील का?,तुम्ही काय करता आहात?
तू ठीक आहेस का?,काय झालं आहे?
कस चाललंय?,खूप थकले आहेत.
कधी सुट्टी आहे?,आता काहीतरी खाऊ का?
हे घ्या!,मला समजलं नाही आहे.
माझा नंबर घेतला?,काय करता आहात?
खूप थंड आहे!,थांब ना आहे.
काय चाललंय ग?,माझं लक्ष नाही आहे.
कस वाटलं?,तुम्ही येणार आहात का?
काय करतोस आता?,कधी भेटू?
तुम्ही तयार आहात का?,तुमचं नाव काय?
आम्ही जाऊया का?,हे सगळं खरं आहे का?
थोडं शांत!,मला काही सांग आहे.
मला समजलं का?,आधी जा आहे.
कधी येणार आहेस?,किती दिवस झाले आहेत?
काय बघतोय?,आता पोहचलं आहे का?
आता काहीच नाही.,तुम्ही उशिरा आला का?
तुझा मित्र आला?,हे किती आहे?
हे काय आहे?,मला मदत कराल का?
काय झालं?,तुम्ही ठीक आहात का?
काय करणार?,कस चाललंय आहे?
मला सांगशील का?,कधी सुट्टी आहे?
आता थांब!,हे घ्या आहे!
तू तयार आहेस?,माझा नंबर घेतला का?
खूप मजा आली!,खूप थंड आहे आहे!
काय खायला आहे?,काय चाललंय आहे ग?
हे घे,कस वाटलं आहे?
तुझा अभ्यास झाला?,काय करता आहात आता?
माझं काम संपलं.,तुम्ही तयार आहात का?
आता निघूया?,आम्ही जाऊया का?
कस चाललंय?,थोडं शांत आहे!
तुम्ही तयार आहात?,मला समजलं आहे का?
खूप गरम आहे!,कधी येणार आहात?
माझं लक्ष नाहीं.,काय बघता आहात?
कस वाटलं?,आता काहीच नाही आहे.
काय करतोय?,तुमचा मित्र आला का?
काय चाललंय?,हे काय आहे?
थोडं थांब.,काय झाले आहे?
कस आहे?,काय करणार आहात?
तू आला?,मला सांगाल का?
तु काय करतोस?,आता थांब आहे!
काय चाललंय?,तुम्ही तयार आहात का?
तु काय करतोस?,खूप मजा आली आहे!
काय चाललंय?,काय खायला आहे?
चल निघूया.,हे घे आहे
हे मस्त आहे!,तुमचा अभ्यास झाला का?
बघितलंस का?,माझं काम संपलं आहे.
सांग ना मला!,आता निघूया का?
काय रे हाच का?,कस चाललंय आहे?
अजून वेळ लागेल का?,तुम्ही तयार आहात का?
खूप भूक लागलीय.,खूप गरम आहे आहे!
चल भेटू नंतर.,माझं लक्ष नाही आहे.
माझं काम झालं.,कस वाटलं आहे?
कधी येणार?,तुम्ही काय करता आहात?
हा भारी आहे!,काय चाललंय आहे?
थांब जरा!,थोडं थांब आहे.
मस्त चाललंय!,कस आहे?
तुला माहित आहे का?,तुम्ही आला का?
हे खरं आहे का?,तुम्ही काय करता आहात?
सुट्टी आहे का?,काय चाललंय आहे?
काय झालं रे तुला?,चल निघूया आहे.
हे घे.,हे मस्त आहे आहे!
थोडं थांब.,बघितलं का?
आपण भेटलो का पूर्वी?,सांग ना मला आहे!
तू कुठे जातोय?,काय रे हाच आहे का?
काय रे मजा!,अजून वेळ लागेल आहे का?
काय करतोय तू उद्या?,खूप भूक लागली आहे.
माझं काही समजलं नाही!,चल भेटू नंतर आहे.
तू आला का?,माझं काम झालं आहे.
थांब थोडा,कधी येणार?
कस वाटतंय?,हा भारी आहे आहे!
आता पोहचशील का?,थांब जरा आहे!
हे मला द्या.,मस्त चाललंय आहे!
काय खायला आहे?,तुम्हाला माहित आहे का?
तुझ्या घरात कोण आहे?,हे खरं आहे आहे का?
मला नको आहे.,सुट्टी आहे आहे का?
थोडा जलद करा!,काय झाले आहे?
किती वाजले?,हे घे आहे.
तू तयार आहेस?,तुम्ही काय करता?
अरे रडू नकोस!,काय चाललंय का?
काय करत आहेस?,चल निघूया आहे.
काय झालं?,हे मस्त आहे आहे!
खूप थकलेय.,बघितलंत का?
आता काहीतरी खाऊ का?,सांग ना मला आहे!
मला समजलं नाही.,काय रे हाच आहे का?
काय करतोस?,अजून वेळ लागेल आहे का?
थांब ना!,खूप भूक लागली आहे.
माझं लक्ष नाही आहे.,चल भेटू नंतर आहे.
तू येणार आहेस?,माझं काम झालं आहे.
कधी भेटू?,कधी येणार?
तुझं नाव काय?,हा भारी आहे आहे!
हे सगळं खरं का?,थांब जरा आहे!
मला काही सांग.,मस्त चाललंय आहे!
आधी जा.,तुम्हाला माहित आहे का?
किती दिवस झाले?,हे खरं आहे आहे का?
आता पोहचलंय?,सुट्टी आहे आहे का?
तू उशिरा आला?,काय झालं आहे का?
हे किती आहे?,हे घे आहे.
मला मदत करशील का?,थोडं थांब आहे.
तू ठीक आहेस का?,आपण भेटलो का पूर्वी?
कस चाललंय?,तुम्ही कुठे जाता?
कधी सुट्टी आहे?,काय मजा आहे!
हे घ्या!,तुम्ही काय करता उद्या?
माझा नंबर घेतला?,माझं काही समजलं नाही आहे.
खूप थंड आहे!,तुम्ही आला का?
काय चाललंय ग?,थांब थोडा आहे.
कस वाटलं?,कस वाटतंय आहे?
काय करतोस आता?,आता पोहचशील आहात का?
तुम्ही तयार आहात का?,हे मला द्या आहे.
आम्ही जाऊया का?,काय खायला आहे आहे?
थोडं शांत!,तुमच्या घरात कोण आहे?
मला समजलं का?,मला नको आहे आहे.
कधी येणार आहेस?,थोडा जलद करा आहे!
काय बघतोय?,किती वाजले आहे?
आता काहीच नाही.,तुम्ही तयार आहात का?
तुझा मित्र आला?,अरे रडू नका!
हे काय आहे?,तुम्ही काय करता आहात?
काय झालं?,काय झालं आहे?
काय करणार?,खूप थकले आहेत.
मला सांगशील का?,आता काहीतरी खाऊ का?
आता थांब!,मला समजलं नाही आहे.
तू तयार आहेस?,काय करता आहात?
खूप मजा आली!,थांब ना आहे.
काय खायला आहे?,माझं लक्ष नाही आहे.
हे घे,तुम्ही येणार आहात का?
तुझा अभ्यास झाला?,कधी भेटू?
माझं काम संपलं.,तुमचं नाव काय?
आता निघूया?,हे सगळं खरं आहे का?
कस चाललंय?,मला काही सांग आहे.
तुम्ही तयार आहात?,आधी जा आहे.
खूप गरम आहे!,किती दिवस झाले आहेत?
माझं लक्ष नाहीं.,आता पोहचलं आहे का?
कस वाटलं?,तुम्ही उशिरा आला का?
काय करतोय?,हे किती आहे?
काय चाललंय?,मला मदत कराल का?
थोडं थांब.,तुम्ही ठीक आहात का?
कस आहे?,कस चाललंय आहे?
तू आला?,कधी सुट्टी आहे?
तु काय करतोस?,हे घ्या आहे!
काय चाललंय?,माझा नंबर घेतला का?
तु काय करतोस?,खूप थंड आहे आहे!
काय चाललंय?,काय चाललंय आहे ग?
चल निघूया.,कस वाटलं आहे?
हे मस्त आहे!,काय करता आहात आता?
बघितलंस का?,तुम्ही तयार आहात का?
सांग ना मला!,आम्ही जाऊया का?
काय रे हाच का?,थोडं शांत आहे!
अजून वेळ लागेल का?,मला समजलं आहे का?
खूप भूक लागलीय.,कधी येणार आहात?
चल भेटू नंतर.,काय बघता आहात?
माझं काम झालं.,आता काहीच नाही आहे.
कधी येणार?,तुमचा मित्र आला का?
हा भारी आहे!,हे काय आहे?
थांब जरा!,काय झाले आहे?
मस्त चाललंय!,काय करणार आहात?
तुला माहित आहे का?,मला सांगाल का?
हे खरं आहे का?,आता थांब आहे!
सुट्टी आहे का?,तुम्ही तयार आहात का?
काय झालं रे तुला?,खूप मजा आली आहे!
हे घे.,काय खायला आहे?
थोडं थांब.,हे घे आहे
आपण भेटलो का पूर्वी?,तुमचा अभ्यास झाला का?
तू कुठे जातोय?,माझं काम संपलं आहे.
काय रे मजा!,आता निघूया का?
काय करतोय तू उद्या?,कस चाललंय आहे?
माझं काही समजलं नाही!,तुम्ही तयार आहात का?
तू आला का?,खूप गरम आहे आहे!
थांब थोडा,माझं लक्ष नाही आहे.
कस वाटतंय?,कस वाटलं आहे?
आता पोहचशील का?,तुम्ही काय करता आहात?
हे मला द्या.,काय चाललंय आहे?
काय खायला आहे?,थोडं थांब आहे.
तुझ्या घरात कोण आहे?,कस आहे?
मला नको आहे.,तुम्ही आला का?
थोडा जलद करा!,तुम्ही काय करता आहात?
किती वाजले?,काय चाललंय आहे?
तू तयार आहेस?,चल निघूया आहे.
अरे रडू नकोस!,हे मस्त आहे आहे!
काय करत आहेस?,बघितलं का?
काय झालं?,सांग ना मला आहे!
खूप थकलेय.,काय रे हाच आहे का?
आता काहीतरी खाऊ का?,अजून वेळ लागेल आहे का?
मला समजलं नाही.,खूप भूक लागली आहे.
काय करतोस?,चल भेटू नंतर आहे.
थांब ना!,माझं काम झालं आहे.
माझं लक्ष नाही आहे.,कधी येणार?
तू येणार आहेस?,हा भारी आहे आहे!
कधी भेटू?,थांब जरा आहे!
तुझं नाव काय?,मस्त चाललंय आहे!
हे सगळं खरं का?,तुम्हाला माहित आहे का?
मला काही सांग.,हे खरं आहे आहे का?
आधी जा.,सुट्टी आहे आहे का?
किती दिवस झाले?,काय झाले आहे?
आता पोहचलंय?,हे घे आहे.
तू उशिरा आला?,तुम्ही काय करता?
हे किती आहे?,काय चाललंय का?
मला मदत करशील का?,चल निघूया आहे.
तू ठीक आहेस का?,हे मस्त आहे आहे!
कस चाललंय?,बघितलंत का?
कधी सुट्टी आहे?,सांग ना मला आहे!
हे घ्या!,काय रे हाच आहे का?
माझा नंबर घेतला?,अजून वेळ लागेल आहे का?
खूप थंड आहे!,खूप भूक लागली आहे.
काय चाललंय ग?,चल भेटू नंतर आहे.
कस वाटलं?,माझं काम झालं आहे.
काय करतोस आता?,कधी येणार?
तुम्ही तयार आहात का?,हा भारी आहे आहे!
आम्ही जाऊया का?,थांब जरा आहे!
थोडं शांत!,मस्त चाललंय आहे!
मला समजलं का?,तुम्हाला माहित आहे का?
कधी येणार आहेस?,हे खरं आहे आहे का?
काय बघतोय?,सुट्टी आहे आहे का?
आता काहीच नाही.,काय झालं आहे का?
तुझा मित्र आला?,हे घे आहे.
हे काय आहे?,थोडं थांब आहे.
काय झालं?,आपण भेटलो का पूर्वी?
काय करणार?,तुम्ही कुठे जाता?
मला सांगशील का?,काय मजा आहे!
आता थांब!,तुम्ही काय करता उद्या?
तू तयार आहेस?,माझं काही समजलं नाही आहे.
खूप मजा आली!,तुम्ही आला का?
काय खायला आहे?,थांब थोडा आहे.
हे घे,कस वाटतंय आहे?
तुझा अभ्यास झाला?,आता पोहचशील आहात का?
माझं काम संपलं.,हे मला द्या आहे.
आता निघूया?,काय खायला आहे आहे?
कस चाललंय?,तुमच्या घरात कोण आहे?
तुम्ही तयार आहात?,मला नको आहे आहे.
खूप गरम आहे!,थोडा जलद करा आहे!
माझं लक्ष नाहीं.,किती वाजले आहे?
कस वाटलं?,तुम्ही तयार आहात का?
काय करतोय?,अरे रडू नका!
काय चाललंय?,तुम्ही काय करता आहात?
थोडं थांब.,काय झालं आहे?
कस आहे?,खूप थकले आहेत.
तू आला?,आता काहीतरी खाऊ का?
तु काय करतोस?,मला समजलं नाही आहे.
काय चाललंय?,काय करता आहात?
तु काय करतोस?,थांब ना आहे.
काय चाललंय?,माझं लक्ष नाही आहे.
चल निघूया.,तुम्ही येणार आहात का?
हे मस्त आहे!,कधी भेटू?
बघितलंस का?,तुमचं नाव काय?
सांग ना मला!,हे सगळं खरं आहे का?
काय रे हाच का?,मला काही सांग आहे.
अजून वेळ लागेल का?,आधी जा आहे.
खूप भूक लागलीय.,किती दिवस झाले आहेत?
चल भेटू नंतर.,आता पोहचलं आहे का?
माझं काम झालं.,तुम्ही उशिरा आला का?
कधी येणार?,हे किती आहे?
हा भारी आहे!,मला मदत कराल का?
थांब जरा!,तुम्ही ठीक आहात का?
मस्त चाललंय!,कस चाललंय आहे?
तुला माहित आहे का?,कधी सुट्टी आहे?
हे खरं आहे का?,हे घ्या आहे!
सुट्टी आहे का?,माझा नंबर घेतला का?
काय झालं रे तुला?,खूप थंड आहे आहे!
हे घे.,काय चाललंय आहे ग?
थोडं थांब.,कस वाटलं आहे?
आपण भेटलो का पूर्वी?,काय करता आहात आता?
तू कुठे जातोय?,तुम्ही तयार आहात का?
काय रे मजा!,आम्ही जाऊया का?
काय करतोय तू उद्या?,थोडं शांत आहे!
माझं काही समजलं नाही!,मला समजलं आहे का?
तू आला का?,कधी येणार आहात?
थांब थोडा,काय बघता आहात?
कस वाटतंय?,आता काहीच नाही आहे.
आता पोहचशील का?,तुमचा मित्र आला का?
हे मला द्या.,हे काय आहे?
काय खायला आहे?,काय झाले आहे?
तुझ्या घरात कोण आहे?,काय करणार आहात?
मला नको आहे.,मला सांगाल का?
थोडा जलद करा!,आता थांब आहे!
किती वाजले?,तुम्ही तयार आहात का?
तू तयार आहेस?,खूप मजा आली आहे!
अरे रडू नकोस!,काय खायला आहे?
काय करत आहेस?,हे घे आहे
काय झालं?,तुमचा अभ्यास झाला का?
खूप थकलेय.,माझं काम संपलं आहे.
आता काहीतरी खाऊ का?,आता निघूया का?
मला समजलं नाही.,कस चाललंय आहे?
काय करतोस?,तुम्ही तयार आहात का?
थांब ना!,खूप गरम आहे आहे!
माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे.
तू येणार आहेस?,कस वाटलं आहे?
कधी भेटू?,तुम्ही काय करता आहात?
तुझं नाव काय?,काय चाललंय आहे?
हे सगळं खरं का?,थोडं थांब आहे.
मला काही सांग.,कस आहे?
आधी जा.,तुम्ही आला का?
किती दिवस झाले?,तुम्ही काय करता आहात?
आता पोहचलंय?,काय चाललंय आहे?
तू उशिरा आला?,चल निघूया आहे.
हे किती आहे?,हे मस्त आहे आहे!
मला मदत करशील का?,बघितलं का?
तू ठीक आहेस का?,सांग ना मला आहे!
कस चाललंय?,काय रे हाच आहे का?
कधी सुट्टी आहे?,अजून वेळ लागेल आहे का?
हे घ्या!,खूप भूक लागली आहे.
माझा नंबर घेतला?,चल भेटू नंतर आहे.
खूप थंड आहे!,माझं काम झालं आहे.
काय चाललंय ग?,कधी येणार?
कस वाटलं?,हा भारी आहे आहे!
काय करतोस आता?,थांब जरा आहे!
तुम्ही तयार आहात का?,मस्त चाललंय आहे!
आम्ही जाऊया का?,तुम्हाला माहित आहे का?
थोडं शांत!,हे खरं आहे आहे का?
मला समजलं का?,सुट्टी आहे आहे का?
कधी येणार आहेस?,काय झाले आहे?
काय बघतोय?,हे घे आहे.
आता काहीच नाही.,तुम्ही काय करता?
तुझा मित्र आला?,काय चाललंय का?
हे काय आहे?,चल निघूया आहे.
काय झालं?,हे मस्त आहे आहे!
काय करणार?,बघितलंत का?
मला सांगशील का?,सांग ना मला आहे!
आता थांब!,काय रे हाच आहे का?
तू तयार आहेस?,अजून वेळ लागेल आहे का?
खूप मजा आली!,खूप भूक लागली आहे.
काय खायला आहे?,चल भेटू नंतर आहे.
हे घे,माझं काम झालं आहे.
तुझा अभ्यास झाला?,कधी येणार?
माझं काम संपलं.,हा भारी आहे आहे!
आता निघूया?,थांब जरा आहे!
कस चाललंय?,मस्त चाललंय आहे!
तुम्ही तयार आहात?,तुम्हाला माहित आहे का?
खूप गरम आहे!,हे खरं आहे आहे का?
माझं लक्ष नाहीं.,सुट्टी आहे आहे का?
कस वाटलं?,काय झालं आहे का?
काय करतोय?,हे घे आहे.
काय चाललंय?,थोडं थांब आहे.
थोडं थांब.,आपण भेटलो का पूर्वी?
कस आहे?,तुम्ही कुठे जाता?
तू आला?,काय मजा आहे!
तु काय करतोस?,तुम्ही काय करता उद्या?
काय चाललंय?,माझं काही समजलं नाही आहे.
तु काय करतोस?,तुम्ही आला का?
काय चाललंय?,थांब थोडा आहे.
चल निघूया.,कस वाटतंय आहे?
हे मस्त आहे!,आता पोहचशील आहात का?
बघितलंस का?,हे मला द्या आहे.
सांग ना मला!,काय खायला आहे आहे?
काय रे हाच का?,तुमच्या घरात कोण आहे?
अजून वेळ लागेल का?,मला नको आहे आहे.
खूप भूक लागलीय.,थोडा जलद करा आहे!
चल भेटू नंतर.,किती वाजले आहे?
माझं काम झालं.,तुम्ही तयार आहात का?
कधी येणार?,अरे रडू नका!
हा भारी आहे!,तुम्ही काय करता आहात?
थांब जरा!,काय झालं आहे?
मस्त चाललंय!,खूप थकले आहेत.
तुला माहित आहे का?,आता काहीतरी खाऊ का?
हे खरं आहे का?,मला समजलं नाही आहे.
सुट्टी आहे का?,काय करता आहात?
काय झालं रे तुला?,थांब ना आहे.
हे घे.,माझं लक्ष नाही आहे.
थोडं थांब.,तुम्ही येणार आहात का?
आपण भेटलो का पूर्वी?,कधी भेटू?
तू कुठे जातोय?,तुमचं नाव काय?
काय रे मजा!,हे सगळं खरं आहे का?
काय करतोय तू उद्या?,मला काही सांग आहे.
माझं काही समजलं नाही!,आधी जा आहे.
तू आला का?,किती दिवस झाले आहेत?
थांब थोडा,आता पोहचलं आहे का?
कस वाटतंय?,तुम्ही उशिरा आला का?
आता पोहचशील का?,हे किती आहे?
हे मला द्या.,मला मदत कराल का?
काय खायला आहे?,तुम्ही ठीक आहात का?
तुझ्या घरात कोण आहे?,कस चाललंय आहे?
मला नको आहे.,कधी सुट्टी आहे?
थोडा जलद करा!,हे घ्या आहे!
किती वाजले?,माझा नंबर घेतला का?
तू तयार आहेस?,खूप थंड आहे आहे!
अरे रडू नकोस!,काय चाललंय आहे ग?
काय करत आहेस?,कस वाटलं आहे?
काय झालं?,काय करता आहात आता?
खूप थकलेय.,तुम्ही तयार आहात का?
आता काहीतरी खाऊ का?,आम्ही जाऊया का?
मला समजलं नाही.,थोडं शांत आहे!
काय करतोस?,मला समजलं आहे का?
थांब ना!,कधी येणार आहात?
माझं लक्ष नाही आहे.,काय बघता आहात?
तू येणार आहेस?,आता काहीच नाही आहे.
कधी भेटू?,तुमचा मित्र आला का?
तुझं नाव काय?,हे काय आहे?
हे सगळं खरं का?,काय झाले आहे?
मला काही सांग.,काय करणार आहात?
आधी जा.,मला सांगाल का?
किती दिवस झाले?,आता थांब आहे!
आता पोहचलंय?,तुम्ही तयार आहात का?
तू उशिरा आला?,खूप मजा आली आहे!
हे किती आहे?,काय खायला आहे?
मला मदत करशील का?,हे घे आहे
तू ठीक आहेस का?,तुमचा अभ्यास झाला का?
कस चाललंय?,माझं काम संपलं आहे.
कधी सुट्टी आहे?,आता निघूया का?
हे घ्या!,कस चाललंय आहे?
माझा नंबर घेतला?,तुम्ही तयार आहात का?
खूप थंड आहे!,खूप गरम आहे आहे!
काय चाललंय ग?,माझं लक्ष नाही आहे.
कस वाटलं?,कस वाटलं आहे?
काय करतोस आता?,तुम्ही काय करता आहात?
तुम्ही तयार आहात का?,काय चाललंय आहे?
आम्ही जाऊया का?,थोडं थांब आहे.
थोडं शांत!,कस आहे?
मला समजलं का?,तुम्ही आला का?
कधी येणार आहेस?,तुम्ही काय करता आहात?
काय बघतोय?,काय चाललंय आहे?
आता काहीच नाही.,चल निघूया आहे.
तुझा मित्र आला?,हे मस्त आहे आहे!
हे काय आहे?,बघितलं का?
काय झालं?,सांग ना मला आहे!
काय करणार?,काय रे हाच आहे का?
मला सांगशील का?,अजून वेळ लागेल आहे का?
आता थांब!,खूप भूक लागली आहे.
तू तयार आहेस?,चल भेटू नंतर आहे.
खूप मजा आली!,माझं काम झालं आहे.
काय खायला आहे?,कधी येणार?
हे घे,हा भारी आहे आहे!
तुझा अभ्यास झाला?,थांब जरा आहे!
माझं काम संपलं.,मस्त चाललंय आहे!
आता निघूया?,तुम्हाला माहित आहे का?
कस चाललंय?,हे खरं आहे आहे का?
तुम्ही तयार आहात?,सुट्टी आहे आहे का?
खूप गरम आहे!,काय झाले आहे?
माझं लक्ष नाहीं.,हे घे आहे.
कस वाटलं?,तुम्ही काय करता?
काय करतोय?,काय चाललंय का?
काय चाललंय?,चल निघूया आहे.
थोडं थांब.,हे मस्त आहे आहे!
कस आहे?,बघितलंत का?
तू आला?,सांग ना मला आहे!
तु काय करतोस?,काय रे हाच आहे का?
काय चाललंय?,अजून वेळ लागेल आहे का?
