informal,formal,input_processed,target_processed
आपण भेटलो का पूर्वी?,आपण भेटलो का पूर्वी?,आपण भेटलो का पूर्वी,आपण भेटलो का पूर्वी
तू कुठे जातोय?,तुम्ही कुठे जाता?,तू कुठे जातोय,तुम्ही कुठे जाता
काय रे मजा!,काय मजा आहे!,काय आहे महोदय मजा,काय आहे मजा आहे
काय करतोय तू उद्या?,तुम्ही काय करता उद्या?,काय आहे करतोय तू उद्या,तुम्ही काय आहे करता उद्या
माझं काही समजलं नाही!,माझं काही समजलं नाही आहे.,माझं काही समजलं नाही,माझं काही समजलं नाही आहे
तू आला का?,तुम्ही आला का?,तू आला का,तुम्ही आला का
थांब थोडा,थांब थोडा आहे.,थांबा थोडा,थांबा थोडा आहे
कस वाटतंय?,कस वाटतंय आहे?,कस वाटतंय,कस वाटतंय आहे
आता पोहचशील का?,आता पोहचशील आहात का?,आता पोहचशील का,आता पोहचशील आहात का
हे मला द्या.,हे मला द्या आहे.,हे माझ्यासाठी द्या,हे माझ्यासाठी द्या आहे
काय खायला आहे?,काय खायला आहे आहे?,काय आहे खायला आहे,काय आहे खायला आहे आहे
तुझ्या घरात कोण आहे?,तुमच्या घरात कोण आहे?,तुझ्या घरात कोण आहे,तुमच्या घरात कोण आहे
मला नको आहे.,मला नको आहे आहे.,माझ्यासाठी नको आहे,माझ्यासाठी नको आहे आहे
थोडा जलद करा!,थोडा जलद करा आहे!,थोडा जलद करा,थोडा जलद करा आहे
किती वाजले?,किती वाजले आहे?,सध्या किती वाजले आहेत?,किती वाजले आहे
तू तयार आहेस?,तुम्ही तयार आहात का?,तू तयार आहेस,तुम्ही तयार आहात का
अरे रडू नकोस!,अरे रडू नका!,अरे रडू नकोस,अरे रडू नका
काय करत आहेस?,तुम्ही काय करता आहात?,काय आहे करत आहेस,तुम्ही काय आहे करता आहात
काय झालं?,काय झालं आहे?,काय आहे झाले आहे,काय आहे झाले आहे आहे
खूप थकलेय.,खूप थकले आहेत.,अत्यंत थकलेय,अत्यंत थकले आहेत
आता काहीतरी खाऊ का?,आता काहीतरी खाऊ का?,आता काहीतरी खाऊ का,आता काहीतरी खाऊ का
मला समजलं नाही.,मला समजलं नाही आहे.,माझ्यासाठी समजलं नाही,माझ्यासाठी समजलं नाही आहे
काय करतोस?,काय करता आहात?,काय आहे करतोस,काय आहे करता आहात
थांब ना!,थांब ना आहे.,थांबा कृपया,थांबा कृपया आहे
माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे,माझं लक्ष नाही आहे
तू येणार आहेस?,तुम्ही येणार आहात का?,तू येणार आहेस,तुम्ही येणार आहात का
कधी भेटू?,कधी भेटू?,कधी भेटूया,कधी भेटूया
तुझं नाव काय?,तुमचं नाव काय?,तुझं नाव काय आहे,तुमचं नाव काय आहे
हे सगळं खरं का?,हे सगळं खरं आहे का?,हे सगळं खरं का,हे सगळं खरं आहे का
मला काही सांग.,मला काही सांग आहे.,माझ्यासाठी काही कृपया सांगा,माझ्यासाठी काही कृपया सांगा आहे
आधी जा.,आधी जा आहे.,आधी जा,आधी जा आहे
किती दिवस झाले?,किती दिवस झाले आहेत?,किती दिवस झाले,किती दिवस झाले आहेत
आता पोहचलंय?,आता पोहचलं आहे का?,आता पोहचलंय,आता पोहचलं आहे का
तू उशिरा आला?,तुम्ही उशिरा आला का?,तू उशिरा आला,तुम्ही उशिरा आला का
हे किती आहे?,हे किती आहे?,हे किती आहे,हे किती आहे
मला मदत करशील का?,मला मदत कराल का?,माझ्यासाठी मदत करशील का,माझ्यासाठी मदत कराल का
तू ठीक आहेस का?,तुम्ही ठीक आहात का?,तू ठीक आहेस का,तुम्ही ठीक आहात का
कस चाललंय?,कस चाललंय आहे?,कस चाललंय,कस चाललंय आहे
कधी सुट्टी आहे?,कधी सुट्टी आहे?,कधी सुट्टी आहे,कधी सुट्टी आहे
हे घ्या!,हे घ्या आहे!,हे घ्या,हे घ्या आहे
माझा नंबर घेतला?,माझा नंबर घेतला का?,माझा नंबर घेतला,माझा नंबर घेतला का
खूप थंड आहे!,खूप थंड आहे आहे!,अत्यंत थंड आहे,अत्यंत थंड आहे आहे
काय चाललंय ग?,काय चाललंय आहे ग?,काय आहे चाललंय ग,काय आहे चाललंय आहे ग
कस वाटलं?,कस वाटलं आहे?,कस वाटलं,कस वाटलं आहे
काय करतोस आता?,काय करता आहात आता?,काय आहे करतोस आता,काय आहे करता आहात आता
तुम्ही तयार आहात का?,तुम्ही तयार आहात का?,तुम्ही तयार आहात का,तुम्ही तयार आहात का
आम्ही जाऊया का?,आम्ही जाऊया का?,आम्ही जाऊया का,आम्ही जाऊया का
थोडं शांत!,थोडं शांत आहे!,थोडं शांत,थोडं शांत आहे
मला समजलं का?,मला समजलं आहे का?,माझ्यासाठी समजलं का,माझ्यासाठी समजलं आहे का
कधी येणार आहेस?,कधी येणार आहात?,कधी येणार आहेस,कधी येणार आहात
काय बघतोय?,काय बघता आहात?,काय आहे बघतोय,काय आहे बघता आहात
आता काहीच नाही.,आता काहीच नाही आहे.,आता काहीच नाही,आता काहीच नाही आहे
तुझा मित्र आला?,तुमचा मित्र आला का?,तुझा मित्र आला,तुमचा मित्र आला का
हे काय आहे?,हे काय आहे?,हे काय आहे आहे,हे काय आहे आहे
काय झालं?,काय झाले आहे?,काय आहे झाले आहे,काय आहे झाले आहे
काय करणार?,काय करणार आहात?,काय आहे करणार,काय आहे करणार आहात
मला सांगशील का?,मला सांगाल का?,माझ्यासाठी सांगशील का,माझ्यासाठी सांगाल का
आता थांब!,आता थांब आहे!,आता थांबा,आता थांबा आहे
तू तयार आहेस?,तुम्ही तयार आहात का?,तू तयार आहेस,तुम्ही तयार आहात का
खूप मजा आली!,खूप मजा आली आहे!,अत्यंत मजा आली,अत्यंत मजा आली आहे
काय खायला आहे?,काय खायला आहे?,काय आहे खायला आहे,काय आहे खायला आहे
हे घे,हे घे आहे,हे घे,हे घे आहे
तुझा अभ्यास झाला?,तुमचा अभ्यास झाला का?,तुझा अभ्यास झाला,तुमचा अभ्यास झाला का
माझं काम संपलं.,माझं काम संपलं आहे.,माझं काम संपलं,माझं काम संपलं आहे
आता निघूया?,आता निघूया का?,आता निघूया,आता निघूया का
कस चाललंय?,कस चाललंय आहे?,कस चाललंय,कस चाललंय आहे
तुम्ही तयार आहात?,तुम्ही तयार आहात का?,तुम्ही तयार आहात,तुम्ही तयार आहात का
खूप गरम आहे!,खूप गरम आहे आहे!,अत्यंत गरम आहे,अत्यंत गरम आहे आहे
माझं लक्ष नाहीं.,माझं लक्ष नाही आहे.,माझं लक्ष नाहीं,माझं लक्ष नाही आहे
कस वाटलं?,कस वाटलं आहे?,कस वाटलं,कस वाटलं आहे
काय करतोय?,तुम्ही काय करता आहात?,काय आहे करतोय,तुम्ही काय आहे करता आहात
काय चाललंय?,काय चाललंय आहे?,सध्या काय सुरू आहे?,काय आहे चाललंय आहे
थोडं थांब.,थोडं थांब आहे.,थोडं थांबा,थोडं थांबा आहे
कस आहे?,कस आहे?,कस आहे,कस आहे
तू आला?,तुम्ही आला का?,तू आला,तुम्ही आला का
तु काय करतोस?,तुम्ही काय करता आहात?,तु काय आहे करतोस,तुम्ही काय आहे करता आहात
काय चाललंय?,काय चाललंय आहे?,सध्या काय सुरू आहे?,काय आहे चाललंय आहे
तु काय करतोस?,चल निघूया आहे.,तु काय आहे करतोस,चला निघूया आहे
काय चाललंय?,हे मस्त आहे आहे!,सध्या काय सुरू आहे?,हे छान आहे आहे
चल निघूया.,बघितलं का?,चला निघूया,बघितलं का
हे मस्त आहे!,सांग ना मला आहे!,हे छान आहे,कृपया सांगा कृपया माझ्यासाठी आहे
बघितलंस का?,काय रे हाच आहे का?,बघितलंस का,काय आहे महोदय हाच आहे का
सांग ना मला!,अजून वेळ लागेल आहे का?,कृपया सांगा कृपया माझ्यासाठी,अजून वेळ लागेल आहे का
काय रे हाच का?,खूप भूक लागली आहे.,काय आहे महोदय हाच का,अत्यंत भूक लागली आहे
अजून वेळ लागेल का?,चल भेटू नंतर आहे.,अजून वेळ लागेल का,चला भेटूया पश्चात आहे
खूप भूक लागलीय.,माझं काम झालं आहे.,अत्यंत भूक लागलीय,माझं काम झाले आहे आहे
चल भेटू नंतर.,कधी येणार?,चला भेटूया पश्चात,कधी येणार
माझं काम झालं.,हा भारी आहे आहे!,माझं काम झाले आहे,हा छान आहे आहे
कधी येणार?,थांब जरा आहे!,कधी येणार,थांबा जरा आहे
हा भारी आहे!,मस्त चाललंय आहे!,हा छान आहे,छान चाललंय आहे
थांब जरा!,तुम्हाला माहित आहे का?,थांबा जरा,तुम्हाला माहिती आहे का
मस्त चाललंय!,हे खरं आहे आहे का?,छान चाललंय,हे खरं आहे आहे का
तुला माहित आहे का?,सुट्टी आहे आहे का?,तुला माहिती आहे का,सुट्टी आहे आहे का
हे खरं आहे का?,काय झाले आहे?,हे खरं आहे का,काय आहे झाले आहे
सुट्टी आहे का?,हे घे आहे.,सुट्टी आहे का,हे घे आहे
काय झालं रे तुला?,तुम्ही काय करता?,काय आहे झाले आहे महोदय तुला,तुम्ही काय आहे करता
हे घे.,काय चाललंय का?,हे घे,काय आहे चाललंय का
थोडं थांब.,चल निघूया आहे.,थोडं थांबा,चला निघूया आहे
आपण भेटलो का पूर्वी?,हे मस्त आहे आहे!,आपण भेटलो का पूर्वी,हे छान आहे आहे
तू कुठे जातोय?,बघितलंत का?,तू कुठे जातोय,बघितलंत का
काय रे मजा!,सांग ना मला आहे!,काय आहे महोदय मजा,कृपया सांगा कृपया माझ्यासाठी आहे
काय करतोय तू उद्या?,काय रे हाच आहे का?,काय आहे करतोय तू उद्या,काय आहे महोदय हाच आहे का
माझं काही समजलं नाही!,अजून वेळ लागेल आहे का?,माझं काही समजलं नाही,अजून वेळ लागेल आहे का
तू आला का?,खूप भूक लागली आहे.,तू आला का,अत्यंत भूक लागली आहे
थांब थोडा,चल भेटू नंतर आहे.,थांबा थोडा,चला भेटूया पश्चात आहे
कस वाटतंय?,माझं काम झालं आहे.,कस वाटतंय,माझं काम झाले आहे आहे
आता पोहचशील का?,कधी येणार?,आता पोहचशील का,कधी येणार
हे मला द्या.,हा भारी आहे आहे!,हे माझ्यासाठी द्या,हा छान आहे आहे
काय खायला आहे?,थांब जरा आहे!,काय आहे खायला आहे,थांबा जरा आहे
तुझ्या घरात कोण आहे?,मस्त चाललंय आहे!,तुझ्या घरात कोण आहे,छान चाललंय आहे
मला नको आहे.,तुम्हाला माहित आहे का?,माझ्यासाठी नको आहे,तुम्हाला माहिती आहे का
थोडा जलद करा!,हे खरं आहे आहे का?,थोडा जलद करा,हे खरं आहे आहे का
किती वाजले?,सुट्टी आहे आहे का?,सध्या किती वाजले आहेत?,सुट्टी आहे आहे का
तू तयार आहेस?,काय झालं आहे का?,तू तयार आहेस,काय आहे झाले आहे आहे का
अरे रडू नकोस!,हे घे आहे.,अरे रडू नकोस,हे घे आहे
काय करत आहेस?,थोडं थांब आहे.,काय आहे करत आहेस,थोडं थांबा आहे
काय झालं?,आपण भेटलो का पूर्वी?,काय आहे झाले आहे,आपण भेटलो का पूर्वी
खूप थकलेय.,तुम्ही कुठे जाता?,अत्यंत थकलेय,तुम्ही कुठे जाता
आता काहीतरी खाऊ का?,काय मजा आहे!,आता काहीतरी खाऊ का,काय आहे मजा आहे
मला समजलं नाही.,तुम्ही काय करता उद्या?,माझ्यासाठी समजलं नाही,तुम्ही काय आहे करता उद्या
काय करतोस?,माझं काही समजलं नाही आहे.,काय आहे करतोस,माझं काही समजलं नाही आहे
थांब ना!,तुम्ही आला का?,थांबा कृपया,तुम्ही आला का
माझं लक्ष नाही आहे.,थांब थोडा आहे.,माझं लक्ष नाही आहे,थांबा थोडा आहे
तू येणार आहेस?,कस वाटतंय आहे?,तू येणार आहेस,कस वाटतंय आहे
कधी भेटू?,आता पोहचशील आहात का?,कधी भेटूया,आता पोहचशील आहात का
तुझं नाव काय?,हे मला द्या आहे.,तुझं नाव काय आहे,हे माझ्यासाठी द्या आहे
हे सगळं खरं का?,काय खायला आहे आहे?,हे सगळं खरं का,काय आहे खायला आहे आहे
मला काही सांग.,तुमच्या घरात कोण आहे?,माझ्यासाठी काही कृपया सांगा,तुमच्या घरात कोण आहे
आधी जा.,मला नको आहे आहे.,आधी जा,माझ्यासाठी नको आहे आहे
किती दिवस झाले?,थोडा जलद करा आहे!,किती दिवस झाले,थोडा जलद करा आहे
आता पोहचलंय?,किती वाजले आहे?,आता पोहचलंय,किती वाजले आहे
तू उशिरा आला?,तुम्ही तयार आहात का?,तू उशिरा आला,तुम्ही तयार आहात का
हे किती आहे?,अरे रडू नका!,हे किती आहे,अरे रडू नका
मला मदत करशील का?,तुम्ही काय करता आहात?,माझ्यासाठी मदत करशील का,तुम्ही काय आहे करता आहात
तू ठीक आहेस का?,काय झालं आहे?,तू ठीक आहेस का,काय आहे झाले आहे आहे
कस चाललंय?,खूप थकले आहेत.,कस चाललंय,अत्यंत थकले आहेत
कधी सुट्टी आहे?,आता काहीतरी खाऊ का?,कधी सुट्टी आहे,आता काहीतरी खाऊ का
हे घ्या!,मला समजलं नाही आहे.,हे घ्या,माझ्यासाठी समजलं नाही आहे
माझा नंबर घेतला?,काय करता आहात?,माझा नंबर घेतला,काय आहे करता आहात
खूप थंड आहे!,थांब ना आहे.,अत्यंत थंड आहे,थांबा कृपया आहे
काय चाललंय ग?,माझं लक्ष नाही आहे.,काय आहे चाललंय ग,माझं लक्ष नाही आहे
कस वाटलं?,तुम्ही येणार आहात का?,कस वाटलं,तुम्ही येणार आहात का
काय करतोस आता?,कधी भेटू?,काय आहे करतोस आता,कधी भेटूया
तुम्ही तयार आहात का?,तुमचं नाव काय?,तुम्ही तयार आहात का,तुमचं नाव काय आहे
आम्ही जाऊया का?,हे सगळं खरं आहे का?,आम्ही जाऊया का,हे सगळं खरं आहे का
थोडं शांत!,मला काही सांग आहे.,थोडं शांत,माझ्यासाठी काही कृपया सांगा आहे
मला समजलं का?,आधी जा आहे.,माझ्यासाठी समजलं का,आधी जा आहे
कधी येणार आहेस?,किती दिवस झाले आहेत?,कधी येणार आहेस,किती दिवस झाले आहेत
काय बघतोय?,आता पोहचलं आहे का?,काय आहे बघतोय,आता पोहचलं आहे का
आता काहीच नाही.,तुम्ही उशिरा आला का?,आता काहीच नाही,तुम्ही उशिरा आला का
तुझा मित्र आला?,हे किती आहे?,तुझा मित्र आला,हे किती आहे
हे काय आहे?,मला मदत कराल का?,हे काय आहे आहे,माझ्यासाठी मदत कराल का
काय झालं?,तुम्ही ठीक आहात का?,काय आहे झाले आहे,तुम्ही ठीक आहात का
काय करणार?,कस चाललंय आहे?,काय आहे करणार,कस चाललंय आहे
मला सांगशील का?,कधी सुट्टी आहे?,माझ्यासाठी सांगशील का,कधी सुट्टी आहे
आता थांब!,हे घ्या आहे!,आता थांबा,हे घ्या आहे
तू तयार आहेस?,माझा नंबर घेतला का?,तू तयार आहेस,माझा नंबर घेतला का
खूप मजा आली!,खूप थंड आहे आहे!,अत्यंत मजा आली,अत्यंत थंड आहे आहे
काय खायला आहे?,काय चाललंय आहे ग?,काय आहे खायला आहे,काय आहे चाललंय आहे ग
हे घे,कस वाटलं आहे?,हे घे,कस वाटलं आहे
तुझा अभ्यास झाला?,काय करता आहात आता?,तुझा अभ्यास झाला,काय आहे करता आहात आता
माझं काम संपलं.,तुम्ही तयार आहात का?,माझं काम संपलं,तुम्ही तयार आहात का
आता निघूया?,आम्ही जाऊया का?,आता निघूया,आम्ही जाऊया का
कस चाललंय?,थोडं शांत आहे!,कस चाललंय,थोडं शांत आहे
तुम्ही तयार आहात?,मला समजलं आहे का?,तुम्ही तयार आहात,माझ्यासाठी समजलं आहे का
खूप गरम आहे!,कधी येणार आहात?,अत्यंत गरम आहे,कधी येणार आहात
माझं लक्ष नाहीं.,काय बघता आहात?,माझं लक्ष नाहीं,काय आहे बघता आहात
कस वाटलं?,आता काहीच नाही आहे.,कस वाटलं,आता काहीच नाही आहे
काय करतोय?,तुमचा मित्र आला का?,काय आहे करतोय,तुमचा मित्र आला का
काय चाललंय?,हे काय आहे?,सध्या काय सुरू आहे?,हे काय आहे आहे
थोडं थांब.,काय झाले आहे?,थोडं थांबा,काय आहे झाले आहे
कस आहे?,काय करणार आहात?,कस आहे,काय आहे करणार आहात
तू आला?,मला सांगाल का?,तू आला,माझ्यासाठी सांगाल का
तु काय करतोस?,आता थांब आहे!,तु काय आहे करतोस,आता थांबा आहे
काय चाललंय?,तुम्ही तयार आहात का?,सध्या काय सुरू आहे?,तुम्ही तयार आहात का
तु काय करतोस?,खूप मजा आली आहे!,तु काय आहे करतोस,अत्यंत मजा आली आहे
काय चाललंय?,काय खायला आहे?,सध्या काय सुरू आहे?,काय आहे खायला आहे
चल निघूया.,हे घे आहे,चला निघूया,हे घे आहे
हे मस्त आहे!,तुमचा अभ्यास झाला का?,हे छान आहे,तुमचा अभ्यास झाला का
बघितलंस का?,माझं काम संपलं आहे.,बघितलंस का,माझं काम संपलं आहे
सांग ना मला!,आता निघूया का?,कृपया सांगा कृपया माझ्यासाठी,आता निघूया का
काय रे हाच का?,कस चाललंय आहे?,काय आहे महोदय हाच का,कस चाललंय आहे
अजून वेळ लागेल का?,तुम्ही तयार आहात का?,अजून वेळ लागेल का,तुम्ही तयार आहात का
खूप भूक लागलीय.,खूप गरम आहे आहे!,अत्यंत भूक लागलीय,अत्यंत गरम आहे आहे
चल भेटू नंतर.,माझं लक्ष नाही आहे.,चला भेटूया पश्चात,माझं लक्ष नाही आहे
माझं काम झालं.,कस वाटलं आहे?,माझं काम झाले आहे,कस वाटलं आहे
कधी येणार?,तुम्ही काय करता आहात?,कधी येणार,तुम्ही काय आहे करता आहात
हा भारी आहे!,काय चाललंय आहे?,हा छान आहे,काय आहे चाललंय आहे
थांब जरा!,थोडं थांब आहे.,थांबा जरा,थोडं थांबा आहे
मस्त चाललंय!,कस आहे?,छान चाललंय,कस आहे
तुला माहित आहे का?,तुम्ही आला का?,तुला माहिती आहे का,तुम्ही आला का
हे खरं आहे का?,तुम्ही काय करता आहात?,हे खरं आहे का,तुम्ही काय आहे करता आहात
सुट्टी आहे का?,काय चाललंय आहे?,सुट्टी आहे का,काय आहे चाललंय आहे
काय झालं रे तुला?,चल निघूया आहे.,काय आहे झाले आहे महोदय तुला,चला निघूया आहे
हे घे.,हे मस्त आहे आहे!,हे घे,हे छान आहे आहे
थोडं थांब.,बघितलं का?,थोडं थांबा,बघितलं का
आपण भेटलो का पूर्वी?,सांग ना मला आहे!,आपण भेटलो का पूर्वी,कृपया सांगा कृपया माझ्यासाठी आहे
तू कुठे जातोय?,काय रे हाच आहे का?,तू कुठे जातोय,काय आहे महोदय हाच आहे का
काय रे मजा!,अजून वेळ लागेल आहे का?,काय आहे महोदय मजा,अजून वेळ लागेल आहे का
काय करतोय तू उद्या?,खूप भूक लागली आहे.,काय आहे करतोय तू उद्या,अत्यंत भूक लागली आहे
माझं काही समजलं नाही!,चल भेटू नंतर आहे.,माझं काही समजलं नाही,चला भेटूया पश्चात आहे
तू आला का?,माझं काम झालं आहे.,तू आला का,माझं काम झाले आहे आहे
थांब थोडा,कधी येणार?,थांबा थोडा,कधी येणार
कस वाटतंय?,हा भारी आहे आहे!,कस वाटतंय,हा छान आहे आहे
आता पोहचशील का?,थांब जरा आहे!,आता पोहचशील का,थांबा जरा आहे
हे मला द्या.,मस्त चाललंय आहे!,हे माझ्यासाठी द्या,छान चाललंय आहे
काय खायला आहे?,तुम्हाला माहित आहे का?,काय आहे खायला आहे,तुम्हाला माहिती आहे का
तुझ्या घरात कोण आहे?,हे खरं आहे आहे का?,तुझ्या घरात कोण आहे,हे खरं आहे आहे का
मला नको आहे.,सुट्टी आहे आहे का?,माझ्यासाठी नको आहे,सुट्टी आहे आहे का
थोडा जलद करा!,काय झाले आहे?,थोडा जलद करा,काय आहे झाले आहे
किती वाजले?,हे घे आहे.,सध्या किती वाजले आहेत?,हे घे आहे
तू तयार आहेस?,तुम्ही काय करता?,तू तयार आहेस,तुम्ही काय आहे करता
अरे रडू नकोस!,काय चाललंय का?,अरे रडू नकोस,काय आहे चाललंय का
काय करत आहेस?,चल निघूया आहे.,काय आहे करत आहेस,चला निघूया आहे
काय झालं?,हे मस्त आहे आहे!,काय आहे झाले आहे,हे छान आहे आहे
खूप थकलेय.,बघितलंत का?,अत्यंत थकलेय,बघितलंत का
आता काहीतरी खाऊ का?,सांग ना मला आहे!,आता काहीतरी खाऊ का,कृपया सांगा कृपया माझ्यासाठी आहे
मला समजलं नाही.,काय रे हाच आहे का?,माझ्यासाठी समजलं नाही,काय आहे महोदय हाच आहे का
काय करतोस?,अजून वेळ लागेल आहे का?,काय आहे करतोस,अजून वेळ लागेल आहे का
थांब ना!,खूप भूक लागली आहे.,थांबा कृपया,अत्यंत भूक लागली आहे
माझं लक्ष नाही आहे.,चल भेटू नंतर आहे.,माझं लक्ष नाही आहे,चला भेटूया पश्चात आहे
तू येणार आहेस?,माझं काम झालं आहे.,तू येणार आहेस,माझं काम झाले आहे आहे
कधी भेटू?,कधी येणार?,कधी भेटूया,कधी येणार
तुझं नाव काय?,हा भारी आहे आहे!,तुझं नाव काय आहे,हा छान आहे आहे
हे सगळं खरं का?,थांब जरा आहे!,हे सगळं खरं का,थांबा जरा आहे
मला काही सांग.,मस्त चाललंय आहे!,माझ्यासाठी काही कृपया सांगा,छान चाललंय आहे
आधी जा.,तुम्हाला माहित आहे का?,आधी जा,तुम्हाला माहिती आहे का
किती दिवस झाले?,हे खरं आहे आहे का?,किती दिवस झाले,हे खरं आहे आहे का
आता पोहचलंय?,सुट्टी आहे आहे का?,आता पोहचलंय,सुट्टी आहे आहे का
तू उशिरा आला?,काय झालं आहे का?,तू उशिरा आला,काय आहे झाले आहे आहे का
हे किती आहे?,हे घे आहे.,हे किती आहे,हे घे आहे
मला मदत करशील का?,थोडं थांब आहे.,माझ्यासाठी मदत करशील का,थोडं थांबा आहे
तू ठीक आहेस का?,आपण भेटलो का पूर्वी?,तू ठीक आहेस का,आपण भेटलो का पूर्वी
कस चाललंय?,तुम्ही कुठे जाता?,कस चाललंय,तुम्ही कुठे जाता
कधी सुट्टी आहे?,काय मजा आहे!,कधी सुट्टी आहे,काय आहे मजा आहे
हे घ्या!,तुम्ही काय करता उद्या?,हे घ्या,तुम्ही काय आहे करता उद्या
माझा नंबर घेतला?,माझं काही समजलं नाही आहे.,माझा नंबर घेतला,माझं काही समजलं नाही आहे
खूप थंड आहे!,तुम्ही आला का?,अत्यंत थंड आहे,तुम्ही आला का
काय चाललंय ग?,थांब थोडा आहे.,काय आहे चाललंय ग,थांबा थोडा आहे
कस वाटलं?,कस वाटतंय आहे?,कस वाटलं,कस वाटतंय आहे
काय करतोस आता?,आता पोहचशील आहात का?,काय आहे करतोस आता,आता पोहचशील आहात का
तुम्ही तयार आहात का?,हे मला द्या आहे.,तुम्ही तयार आहात का,हे माझ्यासाठी द्या आहे
आम्ही जाऊया का?,काय खायला आहे आहे?,आम्ही जाऊया का,काय आहे खायला आहे आहे
थोडं शांत!,तुमच्या घरात कोण आहे?,थोडं शांत,तुमच्या घरात कोण आहे
मला समजलं का?,मला नको आहे आहे.,माझ्यासाठी समजलं का,माझ्यासाठी नको आहे आहे
कधी येणार आहेस?,थोडा जलद करा आहे!,कधी येणार आहेस,थोडा जलद करा आहे
काय बघतोय?,किती वाजले आहे?,काय आहे बघतोय,किती वाजले आहे
आता काहीच नाही.,तुम्ही तयार आहात का?,आता काहीच नाही,तुम्ही तयार आहात का
तुझा मित्र आला?,अरे रडू नका!,तुझा मित्र आला,अरे रडू नका
हे काय आहे?,तुम्ही काय करता आहात?,हे काय आहे आहे,तुम्ही काय आहे करता आहात
काय झालं?,काय झालं आहे?,काय आहे झाले आहे,काय आहे झाले आहे आहे
काय करणार?,खूप थकले आहेत.,काय आहे करणार,अत्यंत थकले आहेत
मला सांगशील का?,आता काहीतरी खाऊ का?,माझ्यासाठी सांगशील का,आता काहीतरी खाऊ का
आता थांब!,मला समजलं नाही आहे.,आता थांबा,माझ्यासाठी समजलं नाही आहे
तू तयार आहेस?,काय करता आहात?,तू तयार आहेस,काय आहे करता आहात
खूप मजा आली!,थांब ना आहे.,अत्यंत मजा आली,थांबा कृपया आहे
काय खायला आहे?,माझं लक्ष नाही आहे.,काय आहे खायला आहे,माझं लक्ष नाही आहे
हे घे,तुम्ही येणार आहात का?,हे घे,तुम्ही येणार आहात का
तुझा अभ्यास झाला?,कधी भेटू?,तुझा अभ्यास झाला,कधी भेटूया
माझं काम संपलं.,तुमचं नाव काय?,माझं काम संपलं,तुमचं नाव काय आहे
आता निघूया?,हे सगळं खरं आहे का?,आता निघूया,हे सगळं खरं आहे का
कस चाललंय?,मला काही सांग आहे.,कस चाललंय,माझ्यासाठी काही कृपया सांगा आहे
तुम्ही तयार आहात?,आधी जा आहे.,तुम्ही तयार आहात,आधी जा आहे
खूप गरम आहे!,किती दिवस झाले आहेत?,अत्यंत गरम आहे,किती दिवस झाले आहेत
माझं लक्ष नाहीं.,आता पोहचलं आहे का?,माझं लक्ष नाहीं,आता पोहचलं आहे का
कस वाटलं?,तुम्ही उशिरा आला का?,कस वाटलं,तुम्ही उशिरा आला का
काय करतोय?,हे किती आहे?,काय आहे करतोय,हे किती आहे
काय चाललंय?,मला मदत कराल का?,सध्या काय सुरू आहे?,माझ्यासाठी मदत कराल का
थोडं थांब.,तुम्ही ठीक आहात का?,थोडं थांबा,तुम्ही ठीक आहात का
कस आहे?,कस चाललंय आहे?,कस आहे,कस चाललंय आहे
तू आला?,कधी सुट्टी आहे?,तू आला,कधी सुट्टी आहे
